"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
114;"TLC272CPWR";"Precision Amplifiers Dual S-Sply Op Amp";1.0;2;3;3;"";"http://www.ti.com/lit/gpn/tlc272";"TI_TSSOP_8.jpg";7;296;4;0;0;83;0.0;0;"";0;1
115;"ADTSM644RVTR";"Tactile Switches SW TACT SPST 0.05A 12VDC 6MM";0.0;24;37;42;"";"http://www.mouser.com/ds/2/26/ADTS6-ADTSM-KTSC6-263747.pdf";"";42;1;5;0;0;1;2.0;0;"";0;0
116;"MCP1501-20E/SN";"Voltage References High Prec Buffered Voltage Reference";0.0;2;7;30;"";"http://www.mouser.com/ds/2/268/20005474C-961722.pdf";"SOIC_8_t.jpg";6;306;3;0;0;19;0.0;0;"";0;1
117;"TMCMA1A225MTRF";"Tantalum Capacitors -  Solid SMD 2.2uF 10V 20% A case";0.0;3;11;37;"";"http://www.mouser.com/ds/2/427/tmcm-515668.pdf";"TMCM_DSL.jpg";35;8;10;0;0;53;0.0;0;"";0;11
118;"02014D105MAT2A";"Multilayer Ceramic Capacitors MLCC - 1µ SMD/SMT 4V .3pF X5R 0201 20% Tol";0.0;3;11;31;"";"http://www.mouser.com/ds/2/40/cx5r-776519.pdf";"AVX_0201_0603_DSL.jpg";30;1;10;0;0;1;0.0;1;"Very much too small for handsoldering";0;0
120;"CRCW080510R0JNEAHP";"Thick Film Resistors - SMD 1/2watt 10ohms 5% High Power AEC-Q200";0.0;3;31;1;"";"http://www.mouser.com/ds/2/427/crcwhpe3-46056.pdf";"CRCW_SPL.jpg";1;1;0;0;0;1;0.0;0;"";0;0
121;"15134-0401";"DC Power Cords 4  Circuit 100MM Picoblade";2.0;7;10;1;"";"http://www.mouser.com/ds/2/276/0151340401_CABLE_ASSEMBLIES-1013681.pdf";"15134-0400_SPL.jpg";14;1;10;0;0;1;0.0;0;"";0;0
122;"53047-0410";"Headers & Wire Housings VERTICAL HDR 4P";0.0;4;17;14;"";"http://www.mouser.com/ds/2/276/0530470410_PCB_HEADERS-170953.pdf";"53047_SPL.jpg";14;1;10;0;0;104;0.0;0;"";0;1
123;"ESR10EZPF1R00";"Thick Film Resistors - SMD 0805 1ohm 1% Anti Surge AEC-Q200";0.0;3;31;43;"";"http://www.mouser.com/ds/2/348/esr-951861.pdf";"ESR_series_DSL.jpg";43;1;20;3;0;1;0.0;0;"";0;0
124;"150060BS75000";"SMD LED WL-SMCW SMDMono TpVw Waterclr 0603 Blue";0.0;5;27;26;"";"http://www.mouser.com/ds/2/445/150060BS75000-368917.pdf";"WL-SMCW.JPG";21;317;10;3;0;1;0.0;0;"";0;1
125;"150060RS75000";"SMD WL-SMCW SMDMono TpVw Waterclr 0603 Red";0.0;5;27;26;"";"http://www.mouser.com/ds/2/445/150060BS75000-368917.pdf";"WL-SMCW.JPG";21;317;10;3;0;1;0.0;0;"";0;1
126;"Raspberry Pi3";"Development Boards & Kits - ARM Raspberry Pi 3 (RPi3) Board";43.0;6;35;41;"";"http://www.mouser.be/new/raspberry-pi/raspberry-pi-3/";"6010602_SPL.jpg";44;1;1;3;0;64;0.0;0;"";0;1
127;"0603ZD105KAT2A";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF X5R 0603 10%  Tol";0.0;3;11;31;"";"http://www.mouser.com/ds/2/40/cx5r-776519.pdf";"AVX_0805_2012_t.jpg";30;14;10;3;0;58;0.0;0;"";0;3
